date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:22	27814/27814	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2008:43:38%20GMT	https://html.rometheme.pro/gaco/index.html	C:/Users/sumona/Documents/web%20development/Github/mowing%20company/html.rometheme.pro/gaco/index.html	(from )
16:12:22	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Mar%202025%2010:12:22%20GMT	https://html.rometheme.pro/robots.txt		(from )
16:12:22	4414/4414	---M-Z	200	added ('OK')	image/x-icon	date:Fri,%2015%20Mar%202019%2000:55:27%20GMT	https://html.rometheme.pro/gaco/images/favicon.ico	C:/Users/sumona/Documents/web%20development/Github/mowing%20company/html.rometheme.pro/gaco/images/favicon.ico	(from https://html.rometheme.pro/gaco/index.html)
16:12:24	1167/1167	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Mar%202019%2014:56:18%20GMT	https://html.rometheme.pro/gaco/images/apple-touch-icon.png	C:/Users/sumona/Documents/web%20development/Github/mowing%20company/html.rometheme.pro/gaco/images/apple-touch-icon.png	(from https://html.rometheme.pro/gaco/index.html)
16:12:24	1534/1534	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Mar%202019%2014:56:18%20GMT	https://html.rometheme.pro/gaco/images/apple-touch-icon-72x72.png	C:/Users/sumona/Documents/web%20development/Github/mowing%20company/html.rometheme.pro/gaco/images/apple-touch-icon-72x72.png	(from https://html.rometheme.pro/gaco/index.html)
16:12:24	2441/2441	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Mar%202019%2014:56:18%20GMT	https://html.rometheme.pro/gaco/images/apple-touch-icon-114x114.png	C:/Users/sumona/Documents/web%20development/Github/mowing%20company/html.rometheme.pro/gaco/images/apple-touch-icon-114x114.png	(from https://html.rometheme.pro/gaco/index.html)
16:12:25	31018/31018	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Feb%202019%2013:07:37%20GMT	https://html.rometheme.pro/gaco/css/vendor/font-awesome.min.css	C:/Users/sumona/Documents/web%20development/Github/mowing%20company/html.rometheme.pro/gaco/css/vendor/font-awesome.min.css	(from https://html.rometheme.pro/gaco/index.html)
16:12:25	188998/188998	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Dec%202018%2003:47:12%20GMT	https://html.rometheme.pro/gaco/css/vendor/bootstrap.min.css	C:/Users/sumona/Documents/web%20development/Github/mowing%20company/html.rometheme.pro/gaco/css/vendor/bootstrap.min.css	(from https://html.rometheme.pro/gaco/index.html)
16:12:25	3351/3351	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Apr%202018%2023:22:10%20GMT	https://html.rometheme.pro/gaco/css/vendor/owl.carousel.min.css	C:/Users/sumona/Documents/web%20development/Github/mowing%20company/html.rometheme.pro/gaco/css/vendor/owl.carousel.min.css	(from https://html.rometheme.pro/gaco/index.html)
16:12:25	1013/1013	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Apr%202018%2023:22:10%20GMT	https://html.rometheme.pro/gaco/css/vendor/owl.theme.default.min.css	C:/Users/sumona/Documents/web%20development/Github/mowing%20company/html.rometheme.pro/gaco/css/vendor/owl.theme.default.min.css	(from https://html.rometheme.pro/gaco/index.html)
